Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Id,Venue,Venue Latitude,Venue Longitude,Venue Category
Prospect Heights,40.676822262254724,-73.9648592426269,572e3f81498eb4ab4c1cb7e0,Faun,40.678241031616174,-73.96868931603504,New American Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,53361829498eb42538181b8d,Citrico,40.67685444742795,-73.96351088534969,Mexican Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,5cb5e5f9a35f4600255406c6,Maison Yaki,40.67747521328162,-73.96908078141962,Japanese Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,45c5dc11f964a52057421fe3,Cheryl's Global Soul,40.67351713091144,-73.96730571904092,Southern / Soul Food Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,58fe480bda708012683cda5f,Nourish Thai Food Oasis,40.67798236449783,-73.96868742422106,Thai Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,5c43a4e8e17910002c355cbe,Stocked Burger,40.677219,-73.963579,Burger Joint
Prospect Heights,40.676822262254724,-73.9648592426269,5bfb24f5971317002d556f3b,Oxalis,40.67285927595365,-73.96269179538655,Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4e306b3c18383aa77b01b3d2,Chuko,40.680732,-73.967616,Ramen Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,44f9a2c4f964a52066381fe3,Joyce Bakeshop,40.6769837367021,-73.96919916266556,Bakery
Prospect Heights,40.676822262254724,-73.9648592426269,4db462a2fa8c350240e3f2a2,Olde Brooklyn Bagel Shoppe,40.67775598998514,-73.9687742381631,Bagel Shop
Prospect Heights,40.676822262254724,-73.9648592426269,58b74644a6118c72d7ab0b4b,Alta Calidad,40.68025261294533,-73.96800863448841,Mexican Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,56e75fc9498e802e6ae2a716,Nimbooda,40.678277,-73.963957,North Indian Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,559e9f0c498e113f384a2cc1,Banh Mi Place,40.673393600773764,-73.96294999756346,Vietnamese Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4a85e6c2f964a52093ff1fe3,Cataldo's,40.68007786642605,-73.9680669171865,Italian Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4b54c4adf964a5207ccb27e3,Maya Taqueria,40.67804657073431,-73.96868159230807,Mexican Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,5ad35db3dd70c54b66147664,Underhill Greek Eatery,40.67948815502422,-73.9650362872155,Greek Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4a55d316f964a52048b41fe3,Zaytoon's,40.678705,-73.96868,Falafel Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4f7f7600e4b005524c51d19e,Inaka,40.67965126396251,-73.96812484573803,Japanese Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4e738451ae6050af79ebf95b,Neptune Diner II,40.67657388375594,-73.95926265892562,Diner
Prospect Heights,40.676822262254724,-73.9648592426269,4be214df660ec9288ebbc83b,Saba Deli & Grocery,40.673596327493584,-73.96718358349109,Deli / Bodega
Prospect Heights,40.676822262254724,-73.9648592426269,4baeaa1df964a52074cc3be3,United Deli Grocery,40.67290781074476,-73.96288744639351,Deli / Bodega
Prospect Heights,40.676822262254724,-73.9648592426269,4c8d62e35e048cfa8852d5cd,Classon Corp. Grocery & Deli,40.677398547764035,-73.95911533127433,Deli / Bodega
