Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Id,Venue,Venue Latitude,Venue Longitude,Venue Category
Upper West Side,40.787657998534854,-73.97705923630603,4ae63608f964a520a8a521e3,Gary Null's Uptown Whole Foods,40.79032747081923,-73.97504344053478,Vegetarian / Vegan Restaurant
Upper West Side,40.787657998534854,-73.97705923630603,5409e965498e51456f30cd0a,Blossom on Columbus,40.78551142817761,-73.97282897616607,Vegetarian / Vegan Restaurant
Upper West Side,40.787657998534854,-73.97705923630603,4f57e21fe4b02ea342ad7d5d,Candle Cafe West,40.79042811515651,-73.97486666142775,Vegetarian / Vegan Restaurant
Upper West Side,40.787657998534854,-73.97705923630603,4c0eb436336220a147a4cc77,Chubby Bunny CSA,40.789312194631684,-73.97689351652585,Vegetarian / Vegan Restaurant
Clinton,40.75910089146212,-73.99611936309479,55f5b1d4498e880072214d3d,Juice Press,40.75997243657662,-73.99145367615748,Juice Bar
Clinton,40.75910089146212,-73.99611936309479,50294d65e4b0d9146666f637,Blossom Du Jour,40.75943408106111,-73.99184750984575,Vegetarian / Vegan Restaurant
Clinton,40.75910089146212,-73.99611936309479,5398fa28498e0fb58c22cf51,Zen Palate,40.761182,-73.99103,Vegetarian / Vegan Restaurant
Clinton,40.75910089146212,-73.99611936309479,414e1d80f964a520ee1c1fe3,9 Ave Vegetarian World,40.75709307680538,-73.9960045293561,Vegetarian / Vegan Restaurant
Midtown,40.75469110270623,-73.98166882730304,59af2bde65cdf82b4a51f617,by CHLOE.,40.7580629,-73.9788542,Vegetarian / Vegan Restaurant
Midtown,40.75469110270623,-73.98166882730304,5b842ba9b9a5a8002cdf49ed,The Little Beet,40.753998,-73.98566,Restaurant
Midtown,40.75469110270623,-73.98166882730304,587fa2db561ded03b4428778,Two Forks,40.7540492840697,-73.98601827314143,Fast Food Restaurant
Midtown,40.75469110270623,-73.98166882730304,5d362697ee95980008fce521,Dig Inn,40.756933,-73.983193,New American Restaurant
Midtown,40.75469110270623,-73.98166882730304,56059354498e571996f6e664,"Two Tablespoons, Veggie Pop-Up",40.75435479612109,-73.97693425379175,Vegetarian / Vegan Restaurant
Midtown,40.75469110270623,-73.98166882730304,4acf6ed7f964a520a0d320e3,Cafe Spice,40.75254204028965,-73.97738135881644,Indian Restaurant
Midtown,40.75469110270623,-73.98166882730304,538d044c498eb8ab1307cd61,Juice Press,40.754640331117024,-73.98521536250983,Juice Bar
Midtown,40.75469110270623,-73.98166882730304,4e41d25dfa7630be83f9f283,Kimo Food (Vegetarian Halal Cart),40.75691398537848,-73.98286806450913,Food Truck
Midtown,40.75469110270623,-73.98166882730304,593092cccad1b60cd280b4b3,Cinnamon Snail Kiosk,40.752323,-73.982056,Vegetarian / Vegan Restaurant
Midtown,40.75469110270623,-73.98166882730304,4ee121f68231e61c74fb337a,Vegetarian Oasis,40.75457216704717,-73.98425119467512,Vegetarian / Vegan Restaurant
Midtown,40.75469110270623,-73.98166882730304,5942bc32780eee6c43094661,"Two Tablespoons, Veggie Pop Up",40.755991,-73.986346,Vegetarian / Vegan Restaurant
Midtown,40.75469110270623,-73.98166882730304,5834e441d7b4734dc27b0efa,Matzahbrei,40.7531272425431,-73.98331493139267,Vegetarian / Vegan Restaurant
Murray Hill,40.748303077252174,-73.97833207924127,5399a707498e606f9b2d2eef,Juice Generation,40.751412337284314,-73.9765369892121,Juice Bar
Murray Hill,40.748303077252174,-73.97833207924127,4b02f734f964a520814b22e3,Franchia,40.74754904507587,-73.981123802193,Vegetarian / Vegan Restaurant
Murray Hill,40.748303077252174,-73.97833207924127,4a411158f964a520baa41fe3,Just Salad,40.74933244342022,-73.97566033838281,Salad Place
Murray Hill,40.748303077252174,-73.97833207924127,5cc1f2e804d1ae002cf25f49,Le Botaniste,40.751316,-73.974187,Vegetarian / Vegan Restaurant
Murray Hill,40.748303077252174,-73.97833207924127,4a99b4f4f964a520f62f20e3,Kajitsu,40.74976283974211,-73.97768769032828,Japanese Restaurant
Murray Hill,40.748303077252174,-73.97833207924127,4acf6ed7f964a520a0d320e3,Cafe Spice,40.75254204028965,-73.97738135881644,Indian Restaurant
Chelsea,40.744034706747975,-74.00311633472813,51c118bf454a9544b82d60cf,Liquiteria,40.74039407119307,-74.00199476014649,Juice Bar
Chelsea,40.744034706747975,-74.00311633472813,4a272aeef964a52063911fe3,Blossom Restaurant,40.74539444900616,-74.00210631921428,Vegetarian / Vegan Restaurant
Chelsea,40.744034706747975,-74.00311633472813,51486335e4b0cc8114b466cd,Jack’s Stir Brew Coffee,40.7409566,-74.00697509999999,Café
Chelsea,40.744034706747975,-74.00311633472813,51814e22498e812ad93a4530,Beyond Sushi - The Green Roll,40.742578,-74.006598,Vegetarian / Vegan Restaurant
Chelsea,40.744034706747975,-74.00311633472813,5804d67438fa658ee4729809,Dickson's Fine Brines!,40.742281,-74.006667,Vegetarian / Vegan Restaurant
Chelsea,40.744034706747975,-74.00311633472813,595a687475cb8c1148ebec1f,Pineapple Express,40.742719,-74.006246,Frozen Yogurt Shop
Greenwich Village,40.72693288536128,-73.99991402945902,57164b8838fa4c3aecc5942c,sweetgreen,40.72999212563189,-74.00243385198331,Salad Place
Greenwich Village,40.72693288536128,-73.99991402945902,55a682d6498ef469bb1a0add,by CHLOE.,40.72918,-74.00097,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,580820a638fae571fa62c326,Urban Vegan Kitchen,40.730018792418896,-74.00354871522137,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,57c5e80a498ef90b485a9ca4,Sweets by CHLOE.,40.729262,-74.00091960000002,Bakery
Greenwich Village,40.72693288536128,-73.99991402945902,4b4f6600f964a520cf0427e3,Red Bamboo,40.731319,-74.000359,Vegetarian / Vegan Restaurant
Greenwich Village,40.72693288536128,-73.99991402945902,3fd66200f964a520ede91ee3,Quantum Leap,40.729209246692434,-73.99886686851244,Vegetarian / Vegan Restaurant
